word,reading,meaning,thai_meaning
会う,あう,"to meet, to see",เพื่อพบเห็น
青い,あおい,blue,สีน้ำเงิน
赤い,あかい,red,สีแดง
明るい,あかるい,bright (in reference to personality or weather); cheerful,สดใส (อ้างอิงถึงบุคลิกภาพหรือสภาพอากาศ); ร่าเริง
開く,あく,"to open, to become open",เพื่อเปิดเพื่อเปิด
開ける,あける,to open (v.t.),เปิด (v.t.)
上げる,あげる,"to raise, to lift","ยก, ยก"
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,เล่น; ใช้เวลาอย่างเป็นสุข เพื่อออกไปเที่ยว
暖かい,あたたかい,warm,อบอุ่น
新しい,あたらしい,new,ใหม่
暑い,あつい,"hot (in reference to weather), warm","ร้อน (อ้างอิงถึงสภาพอากาศ), อบอุ่น"
熱い,あつい,hot (objects),ร้อน (วัตถุ)
厚い,あつい,"kind, warm(hearted), thick, deep",ใจดี อบอุ่น(ใจ) หนา ลึก
浴びる,あびる,"to bathe, to shower","อาบน้ำ, อาบน้ำ"
危ない,あぶない,"dangerous, critical",อันตรายวิกฤติ
甘い,あまい,"generous, sweet",ใจกว้างน่ารัก
洗う,あらう,to wash,ซัก
在る,ある,"to be, to have","เป็น, มี"
有る,ある,"to be, to have","เป็น, มี"
歩く,あるく,to walk,ที่จะเดิน
いい,いい,good,ดี
言う,いう,to say,จะพูด
行く,いく,to go,ไป
忙しい,いそがしい,"busy (people, days)","ไม่ว่าง (คน, วัน)"
痛い,いたい,hurt; painful; sore,เจ็บ; เจ็บปวด; เจ็บ
要る,いる,to need,ต้อง
入れる,いれる,to put in,ใส่
薄い,うすい,"thin, weak",ผอม อ่อนแอ
歌う,うたう,to sing,ร้องเพลง
生まれる,うまれる,to be born,ที่จะเกิด
売る,うる,to sell (v.t.),ขาย (v.t.)
うるさい,うるさい,noisy; annoying,เสียงดัง; น่ารำคาญ
美味しい,おいしい,"delicious, tasty",อร่อย อร่อย
多い,おおい,many; there are a lot,มากมาย; มีเยอะมาก
大きい,おおきい,"big, large","ใหญ่, ใหญ่"
大勢,おおぜい,great number of people,คนเยอะมาก
起きる,おきる,"to get up (e.g., from sleeping); to happen",ลุกขึ้น (เช่น จากการหลับ); ที่จะเกิดขึ้น
置く,おく,to put; to lay; to place,ใส่; นอน; เพื่อวาง
教える,おしえる,"to teach, to inform, to instruct","สอน, แจ้ง, สอน"
押す,おす,"to push, to press, to stamp (e.g., a passport)",ดัน กด ประทับตรา (เช่น หนังสือเดินทาง)
遅い,おそい,slow; (to be) late,ช้า; (จะ) สาย
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)","ส้วม, ห้องน้ำ, ห้องน้ำ (จุดไฟ, สถานที่ล้างมือ)"
一昨日,おととい,the day before yesterday,วันก่อน
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize","เรียนรู้, มุ่งมั่นในการจำ, จดจำ, ท่องจำ"
重い,おもい,heavy; serious,หนัก; จริงจัง
面白い,おもしろい,"interesting, amusing",น่าสนใจ น่าขบขัน
泳ぐ,およぐ,to swim,ว่ายน้ำ
降りる,おりる,to get off,เพื่อลง
終る,おわる,"to finish, to close",เพื่อเสร็จสิ้นเพื่อปิด
買う,かう,to buy,ที่จะซื้อ
返す,かえす,to return something,เพื่อคืนบางสิ่งบางอย่าง
帰る,かえる,"to go back, to go home, to return",กลับบ้าน กลับบ้าน กลับ
書く,かく,to write,เขียน
学生,がくせい,student,นักเรียน
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",สวมใส่ (เช่น แว่นตา); แขวน (เช่น บนผนัง)
かける,かける,"to dial/call (e.g., phone); to sit down",เพื่อโทรออก/โทรออก (เช่น โทรศัพท์) นั่งลง
貸す,かす,to lend,ให้ยืม
家庭,かてい,home; family,บ้าน; ครอบครัว
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)","สวมใส่, สวม (เช่น หมวกบนหัว)"
辛い,からい,hot and spicy; salty,ร้อนและเผ็ด เค็ม
借りる,かりる,"to borrow, to owe",ยืมเป็นหนี้
軽い,かるい,"light, non-serious, minor",เบาๆ ไม่จริงจัง เล็กน้อย
可愛い,かわいい,"cute, adorable",น่ารัก น่าเอ็นดู
黄色い,きいろい,yellow,สีเหลือง
消える,きえる,"to vanish, to disappear","หายไป, หายไป"
聞く,きく,"to hear, to listen, to ask","ได้ยิน, ฟัง, ถาม"
汚い,きたない,"dirty, unclean, filthy",สกปรก ไม่สะอาด สกปรก
兄弟,きょうだい,"siblings (humble), brothers and sisters",พี่น้อง (ถ่อมตัว) พี่น้อง
嫌い,きらい,dislike,ไม่ชอบ
切る,きる,to cut; to hang up (a phone),ตัด; วางสาย (โทรศัพท์)
着る,きる,to put on (clothes above your waist); to wear,สวมใส่ (เสื้อผ้าที่อยู่เหนือเอวของคุณ); ที่จะสวมใส่
綺麗,きれい,"pretty, clean, tidy",สวย สะอาด เป็นระเบียบเรียบร้อย
下さい,ください,(with te-form verb) please do for me,(มีกริยารูปเต) กรุณาทำเพื่อฉันด้วย
曇る,くもる,"to become cloudy, to become dim",กลายเป็นเมฆมาก กลายเป็นสลัว
暗い,くらい,"dark, gloomy",มืดมนมืดมน
来る,くる,to come,มาแล้วจ้า
黒い,くろい,black; dark,สีดำ; มืด
消す,けす,"to erase, to delete, to turn off power","เพื่อลบ, ลบ, ปิดเครื่อง"
答える,こたえる,"to answer, to reply",เพื่อตอบเพื่อตอบ
コピーする,コピーする,to copy,เพื่อคัดลอก
困る,こまる,"to be bothered, to have difficulty",ลำบากใจ
咲く,さく,to bloom,ที่จะเบ่งบาน
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",ยก (ยืดออก) มือ ยก (เช่น ร่ม)
寒い,さむい,cold (in reference to weather),หนาว (อ้างอิงถึงสภาพอากาศ)
死ぬ,しぬ,to die,ที่จะตาย
閉まる,しまる,"to close, to be closed","ปิด, ปิด"
閉める,しめる,"to close, to shut","ปิด, ปิด"
締める,しめる,"to tie, to fasten, to tighten","ผูก, ยึด, กระชับ"
宿題,しゅくだい,homework,การบ้าน
知る,しる,"to know, to understand",รู้เข้าใจ
白い,しろい,white,สีขาว
吸う,すう,"to breathe in, to suck","หายใจเข้า, ดูด"
少ない,すくない,a little; a few,เล็กน้อย; บางส่วน
涼しい,すずしい,"cool, refreshing (in reference to weather)",เย็นสดชื่น (ตามสภาพอากาศ)
住む,すむ,"to reside, to live in","ที่จะอาศัยอยู่, ที่จะอยู่ใน"
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",ต้องทำ พยายาม; ใส่สิ่งของชิ้นเล็กๆ (เช่น เนคไท นาฬิกา ฯลฯ)
座る,すわる,to sit,นั่ง
背,せい,"(one's) height, stature",ส่วนสูง ส่วนสูง
狭い,せまい,narrow; not spacious,แคบ; ไม่กว้างขวาง
先生,せんせい,"teacher, professor; master; doctor","ครู, ศาสตราจารย์; ผู้เชี่ยวชาญ; หมอ"
高い,たかい,"tall, high; expensive",สูง สูง; แพง
出す,だす,to take (something) out; to hand in (something),นำ (บางสิ่ง) ออกไป; เพื่อมอบ (บางสิ่ง)
立つ,たつ,to stand up,ที่จะยืนขึ้น
楽しい,たのしい,"enjoyable, fun",สนุกสนาน สนุกสนาน
頼む,たのむ,"to request, to ask (a favor)","ขอ, ขอ (ความโปรดปราน)"
食べる,たべる,to eat,กิน
小さい,ちいさい,"small, little",เล็ก น้อย
近い,ちかい,"near, close by, short",ใกล้ ใกล้ สั้น
違う,ちがう,to be different; to differ; wrong,จะแตกต่าง; แตกต่าง; ผิด
使う,つかう,to use,การใช้
疲れる,つかれる,to get (become) tired; to become fatigued,เหนื่อย (เหนื่อย) เหนื่อยจัง
着く,つく,"to arrive at, to reach","ไปถึง, ไปถึง"
作る,つくる,"to make, to create","เพื่อสร้าง, เพื่อสร้าง"
つける,つける,"to turn on (e.g., a light); to take",เพื่อเปิด (เช่น ไฟ); ที่จะใช้
勤める,つとめる,to work (for),ไปทำงาน (สำหรับ)
つまらない,つまらない,"boring, dull; insignificant",น่าเบื่อน่าเบื่อ; ไม่มีนัยสำคัญ
冷たい,つめたい,"cold (things, people)","เย็น (สิ่งของ, คน)"
強い,つよい,"strong, powerful",แข็งแกร่งทรงพลัง
出かける,でかける,to go out; to depart,ออกไป; ที่จะออกเดินทาง
できる,できる,to be able to (to accomplish),เพื่อให้สามารถ (บรรลุผล)
出る,でる,"to appear, to leave",ปรากฏขึ้นเพื่อออก
遠い,とおい,"far (away), distant",ไกล (ออกไป) ห่างไกล
時計,とけい,a watch; a clock,นาฬิกา; นาฬิกา
飛ぶ,とぶ,"to fly, to hop","บิน, กระโดด"
止まる,とまる,to come to a halt,ต้องหยุดชะงัก
取る,とる,to take (a class); to get (a grade),เข้าเรียน (ชั้นเรียน); เพื่อให้ได้ (เกรด)
撮る,とる,"to take (a photo), to make (a film)",ถ่ายรูป (ภาพถ่าย) จัดทำ (ภาพยนตร์)
ない,ない,"there isn't, doesn't have",ไม่มี ไม่มี
長い,ながい,"long, lengthy","ยาว, ยาว"
鳴く,なく,to make sound (animal),ทำเสียง (สัตว์)
無くす,なくす,to lose something,การสูญเสียบางสิ่งบางอย่าง
習う,ならう,to learn,เพื่อเรียนรู้
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)","เข้าแถว, ยืนเข้าแถว (vi.)"
並べる,ならべる,to put (things) side by side; to line up,วาง (สิ่งของ) ไว้เคียงข้างกัน เข้าแถว
なる,なる,to become,ที่จะกลายเป็น
脱ぐ,ぬぐ,to take off (clothes),ถอด (เสื้อผ้า)
温い,ぬるい,lukewarm,อุ่นๆ
寝る,ねる,to sleep; to go to sleep; to go to bed,นอน; ไปนอน; ไปนอน
登る,のぼる,to climb,ที่จะปีน
飲む,のむ,to drink,ดื่ม
乗る,のる,"to get on, to ride in, to board",ขึ้น ขึ้นรถ ขึ้นรถ
はい,はい,yes,ใช่
入る,はいる,"to enter, to contain, to hold","เข้าไป, บรรจุ, ถือ"
はく,はく,to put on (items below your waist),ที่จะสวมใส่ (รายการที่อยู่ต่ำกว่าเอวของคุณ)
走る,はしる,to run,เพื่อทำงาน
働く,はたらく,to work,ไปทำงาน
話す,はなす,to speak,พูด
早い,はやい,early,ต้น
速い,はやい,"fast, quick",รวดเร็ว ทันใจ
貼る,はる,to post; to paste; to attach,โพสต์; วาง; เพื่อแนบ
晴れる,はれる,to be sunny,ให้มีแดด
引く,ひく,"to pull, to draw; subtract","ดึง, วาด; ลบ"
弾く,ひく,to play (a string instrument or piano),เล่น (เครื่องสายหรือเปียโน)
低い,ひくい,"short, low",สั้นต่ำ
広い,ひろい,spacious; wide; broad,กว้างขวาง; กว้าง; กว้าง
吹く,ふく,"to blow (wind, etc.)",พัด (ลม ฯลฯ )
太い,ふとい,"fat, thick",อ้วนหนา
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",ตกตะกอน (เช่น ฝน หิมะ ฯลฯ)
古い,ふるい,"old (in reference to objects, not people), aged, ancient",เก่า (อ้างอิงถึงวัตถุ ไม่ใช่คน) เก่า โบราณ
欲しい,ほしい,"to want, in need of","ต้องการ, ต้องการ"
細い,ほそい,"thin, slender, fine",ผอมเพรียวเพรียว
曲る,まがる,"to turn, to bend",เลี้ยวโค้ง
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)","แย่มาก (หมายถึงอาหาร), ไม่น่ารับประทาน, ไม่พึงประสงค์ (รสชาติ)"
待つ,まつ,to wait,รอ
丸い,まるい,"round, circular","กลม, กลม"
磨く,みがく,to brush (teeth); to polish,แปรงฟัน (ฟัน); ขัดเงา
短い,みじかい,short (length),สั้น (ความยาว)
見せる,みせる,"to show, to display",เพื่อแสดงเพื่อแสดง
見る,みる,"to see, to look",เพื่อดูเพื่อดู
難しい,むずかしい,difficult,ยาก
持つ,もつ,"to hold, to carry; to possess","ถือ, พกพา; ที่จะครอบครอง"
問題,もんだい,a problem,ปัญหา
野菜,やさい,vegetable,ผัก
易しい,やさしい,"easy, plain, simple",ง่าย ธรรมดา เรียบง่าย
安い,やすい,inexpensive; cheap (things),ราคาไม่แพง; ราคาถูก (สิ่งของ)
休む,やすむ,"to rest, to have a break, to get time off",พักผ่อน พักผ่อน พักผ่อน
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",ที่จะทำ; ให้ (แก่สัตว์เลี้ยง พ่อแม่ พี่น้อง ฯลฯ)
有名,ゆうめい,famous,มีชื่อเสียง
呼ぶ,よぶ,to call (one's name); to invite,โทร (ชื่อ); เพื่อเชิญ
読む,よむ,to read,อ่าน
弱い,よわい,weak,อ่อนแอ
留学生,りゅうがくせい,international student,นักเรียนต่างชาติ
零,れい,"zero, nought",ศูนย์ไม่มีอะไรเลย
若い,わかい,young,หนุ่ม
分かる,わかる,to understand,ที่จะเข้าใจ
忘れる,わすれる,to forget,เพื่อลืม
渡す,わたす,to hand (something) over (v.t.); to get across,มอบ (บางสิ่ง) ให้ (v.t.); เพื่อข้าม
渡る,わたる,"to cross over, to go across","ข้าม, ข้าม"
悪い,わるい,"bad, sinful; inferior",ไม่ดีบาป; ด้อยกว่า
踏む,ふむ,"to step on, to tread on",ก้าวต่อไป ก้าวต่อไป
盗む,ぬすむ,to steal; to rob,ขโมย; เพื่อปล้น
大抵,たいてい,"generally, usually",โดยทั่วไปมักจะ
鳴る,なる,"to sound, to ring (v.i.)","ส่งเสียง, ดัง (v.i.)"
生きる,いきる,to live,ที่จะมีชีวิตอยู่
苦い,にがい,bitter,ขม
沸く,わく,"to boil, to grow hot",ต้มให้ร้อน
折る,おる,"to snap, to break; to bend","หัก, หัก; ที่จะโค้งงอ"
うかがう,うかがう,to ask,ถาม
聞こえる,きこえる,"to be heard, to be audible","ที่จะได้ยิน, ที่จะได้ยิน"
壊す,こわす,"to break, to break down","พัง, พัง"
怒る,おこる,to get angry; to scold angrily,โกรธ; ดุอย่างโกรธ
止む,やむ,"to cease, to stop",หยุดหยุด
大学生,だいがくせい,"college student, university student","นักศึกษาวิทยาลัย, นักศึกษามหาวิทยาลัย"
柔らかい,やわらかい,"soft (in reference to texture), tender","นุ่ม (อ้างอิงถึงเนื้อสัมผัส), นุ่ม"
拾う,ひろう,"to pick up (something), to find",หยิบ (บางสิ่ง) เพื่อค้นหา
比べる,くらべる,to compare,เพื่อเปรียบเทียบ
郊外,こうがい,"suburb, outskirts","ชานเมือง, นอกเมือง"
焼く,やく,"to bake, to grill","อบ, ย่าง"
失礼,しつれい,"discourtesy, impoliteness; Excuse me",ความไม่สุภาพความไม่สุภาพ; ขออนุญาต
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort","ยากมาก (เช่นเดียวกับ ""ทำงานหนัก"") ด้วยความพยายามอย่างเต็มที่"
機会,きかい,"chance, opportunity",โอกาสโอกาส
建てる,たてる,to build,เพื่อสร้าง
注意,ちゅうい,"caution, attention","ข้อควรระวัง, ความสนใจ"
通る,とおる,"to pass (by), to go through",ผ่านไป (โดย) ผ่านไป
過ぎる,すぎる,"to exceed, to go beyond","เกินกว่า, เกินกว่า"
止める,やめる,"to end, to stop",เพื่อสิ้นสุดเพื่อหยุด
厳しい,きびしい,hard; rigorous; strict,แข็ง; เข้มงวด; เข้มงวด
深い,ふかい,"deep, profound",ลึกซึ้ง ลึกซึ้ง
